Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,Agilent Technologies,138.95,-0.63,-0.45%,139.59,136.7,735381,14:35 ET
AAPL,Apple Inc,242.18,2.59,1.08%,242.065,238.9,20416912,14:35 ET
ABBV,Abbvie Inc,182.27,0.5,0.28%,183.51,181.6,1959010,14:35 ET
ABT,Abbott Laboratories,116.2,-0.61,-0.52%,117.44,116.07,1940861,14:35 ET
ACGL,Arch Capital Grp Ltd,99.94,0.64,0.64%,100.48,98.69,601291,14:33 ET
ACN,Accenture Plc,349.89,-11.49,-3.18%,354.335,346.62,1563559,14:35 ET
ADBE,Adobe Systems Inc,515.79,-0.41,-0.08%,515.72,504.505,1252440,14:35 ET
ADM,Archer Daniels Midland,53.81,-0.46,-0.85%,54.5499,52.75,3018437,14:34 ET
ADP,Automatic Data Procs,303.96,-2.07,-0.68%,307.73,302.12,530041,14:32 ET
ADSK,Autodesk Inc,299.33,2.68,0.90%,299.79,293.5,839906,14:32 ET
AFL,Aflac Inc,107.34,-4.06,-3.64%,112.24,106.75,1597769,14:35 ET
AIG,American International Group,75.63,-0.38,-0.50%,76.4,75.34,1540185,14:34 ET
AIZ,Assurant Inc,228.42,2.69,1.19%,227.905,224.29,156024,14:32 ET
AJG,Arthur J. Gallagher & Company,309.6,1.64,0.53%,309.59,302.89,463152,14:30 ET
AKAM,Akamai Technologies,97.21,-0.72,-0.74%,98.18,96.79,900017,14:35 ET
ALB,Albemarle Corp,109.56,-1.74,-1.56%,111,108.54,712644,14:35 ET
ALL,Allstate Corp,204.52,0.13,0.06%,205.51,202.585,433092,14:34 ET
ALLE,Allegion Plc,140.93,0.53,0.38%,141.53,139.9301,287812,14:35 ET
AMAT,Applied Materials,182.27,-0.99,-0.54%,183.26,180.8,2381586,14:35 ET
AMCR,Amcor Plc,10.59,0.02,0.19%,10.62,10.52,5510888,14:34 ET
AMD,Adv Micro Devices,141.94,-0.12,-0.08%,143.4495,141.0801,16458610,14:35 ET
AME,Ametek Inc,194.2,-1.36,-0.70%,195.9,193.32,857422,14:34 ET
AMGN,Amgen Inc,278.85,0.75,0.27%,281.3799,276.5,2281754,14:35 ET
AMP,Ameriprise Financial Services,566.43,1.06,0.19%,568.61,564.22,223339,14:30 ET
AMT,American Tower Corp,208.18,0.85,0.41%,209.37,207.475,1068875,14:33 ET
AON,AON Plc,386.62,-1.09,-0.28%,389.93,383.48,808581,14:33 ET
APD,Air Products and Chemicals,329.4,-6.22,-1.85%,337,329.49,394881,14:34 ET
APTV,Aptiv Plc,55.92,-0.15,-0.27%,55.85,54.03,2389837,14:35 ET
ARE,Alexandria Real Estate Equities,108.4,-1.3,-1.19%,109.65,108.34,455415,14:34 ET
AVB,Avalonbay Communities,229.55,-1.25,-0.54%,231.17,228.415,153370,14:34 ET
AVY,Avery Dennison Corp,205.83,-0.31,-0.15%,206.06,204.18,363906,14:34 ET
AWK,American Water Works,135.62,0.02,0.01%,136.81,135.355,434956,14:34 ET
AXON,Axon Enterprise Inc,671.86,35.47,5.57%,668.8,638,724195,14:35 ET
AXP,American Express Company,303.5,1.24,0.41%,304.99,301.14,975128,14:35 ET
BAC,Bank of America Corp,46.9,-0.14,-0.30%,47.4778,46.65,18195160,14:34 ET
BALL,Ball Corporation,62.6,-0.23,-0.37%,62.89,62.0035,640237,14:32 ET
BAX,Baxter International Inc,33.22,-0.33,-0.98%,33.58,33.1,1386207,14:35 ET
BBY,Best Buy Company,88.87,-2.06,-2.27%,90.94,88.8,1828544,14:35 ET
BDX,Becton Dickinson and Company,221.74,-1.08,-0.48%,222.82,221,1370456,14:31 ET
